Claim_topic_id,Evidence_topic_id,Label
Claims_Climate_B2.0_13,Evidence_Climate_B2.0_74,N
Claims_Climate_B2.0_13,Evidence_Climate_B2.0_75,N
Claims_Climate_B2.0_13,Evidence_Climate_B2.0_76,N
Claims_Climate_B2.0_13,Evidence_Climate_B2.0_77,N
Claims_Climate_B2.0_13,Evidence_Climate_B2.0_78,N
Claims_Climate_B2.0_14,Evidence_Climate_B2.0_79,T
Claims_Climate_B2.0_14,Evidence_Climate_B2.0_80,T
Claims_Climate_B2.0_14,Evidence_Climate_B2.0_81,T
Claims_Climate_B2.0_14,Evidence_Climate_B2.0_82,T
Claims_Climate_B2.0_14,Evidence_Climate_B2.0_83,T
Claims_Climate_B2.0_14,Evidence_Climate_B2.0_84,T
Claims_Climate_B2.0_15,Evidence_Climate_B2.0_85,F
Claims_Climate_B2.0_15,Evidence_Climate_B2.0_86,F
Claims_Climate_B2.0_15,Evidence_Climate_B2.0_87,F
Claims_Climate_B2.0_15,Evidence_Climate_B2.0_88,F
Claims_Climate_B2.0_15,Evidence_Climate_B2.0_89,F
Claims_Climate_B2.0_15,Evidence_Climate_B2.0_90,F
Claims_Climate_B2.0_16,Evidence_Climate_B2.0_91,F
Claims_Climate_B2.0_16,Evidence_Climate_B2.0_92,F
Claims_Climate_B2.0_16,Evidence_Climate_B2.0_93,F
Claims_Climate_B2.0_16,Evidence_Climate_B2.0_94,F
Claims_Climate_B2.0_16,Evidence_Climate_B2.0_95,F
Claims_Climate_B2.0_16,Evidence_Climate_B2.0_96,F
Claims_Climate_B2.0_17,Evidence_Climate_B2.0_97,N
Claims_Climate_B2.0_17,Evidence_Climate_B2.0_98,N
Claims_Climate_B2.0_17,Evidence_Climate_B2.0_99,N
Claims_Climate_B2.0_17,Evidence_Climate_B2.0_100,N
Claims_Climate_B2.0_17,Evidence_Climate_B2.0_101,N
Claims_Climate_B2.0_17,Evidence_Climate_B2.0_102,N
Claims_Climate_B2.0_18,Evidence_Climate_B2.0_103,N
Claims_Climate_B2.0_18,Evidence_Climate_B2.0_104,N
Claims_Climate_B2.0_18,Evidence_Climate_B2.0_105,N
Claims_Climate_B2.0_18,Evidence_Climate_B2.0_106,N
Claims_Climate_B2.0_18,Evidence_Climate_B2.0_107,N
Claims_Climate_B2.0_18,Evidence_Climate_B2.0_108,N
Claims_Climate_B2.0_19,Evidence_Climate_B2.0_109,N
Claims_Climate_B2.0_19,Evidence_Climate_B2.0_110,N
Claims_Climate_B2.0_19,Evidence_Climate_B2.0_111,N
Claims_Climate_B2.0_19,Evidence_Climate_B2.0_112,N
Claims_Climate_B2.0_19,Evidence_Climate_B2.0_113,N
Claims_Climate_B2.0_19,Evidence_Climate_B2.0_114,N
Claims_Climate_B2.0_20,Evidence_Climate_B2.0_115,T
Claims_Climate_B2.0_20,Evidence_Climate_B2.0_116,T
Claims_Climate_B2.0_20,Evidence_Climate_B2.0_117,T
Claims_Climate_B2.0_20,Evidence_Climate_B2.0_118,T
Claims_Climate_B2.0_20,Evidence_Climate_B2.0_119,T
Claims_Climate_B2.0_20,Evidence_Climate_B2.0_120,T
Claims_Climate_B2.0_21,Evidence_Climate_B2.0_121,F
Claims_Climate_B2.0_21,Evidence_Climate_B2.0_122,F
Claims_Climate_B2.0_21,Evidence_Climate_B2.0_123,F
Claims_Climate_B2.0_21,Evidence_Climate_B2.0_124,F
Claims_Climate_B2.0_21,Evidence_Climate_B2.0_125,F
Claims_Climate_B2.0_21,Evidence_Climate_B2.0_126,F
Claims_Climate_B2.0_22,Evidence_Climate_B2.0_127,N
Claims_Climate_B2.0_22,Evidence_Climate_B2.0_128,N
Claims_Climate_B2.0_22,Evidence_Climate_B2.0_129,N
Claims_Climate_B2.0_22,Evidence_Climate_B2.0_130,N
Claims_Climate_B2.0_22,Evidence_Climate_B2.0_131,N
Claims_Climate_B2.0_22,Evidence_Climate_B2.0_132,N
Claims_Climate_B2.0_23,Evidence_Climate_B2.0_133,T
Claims_Climate_B2.0_23,Evidence_Climate_B2.0_134,T
Claims_Climate_B2.0_23,Evidence_Climate_B2.0_135,T
Claims_Climate_B2.0_23,Evidence_Climate_B2.0_136,T
Claims_Climate_B2.0_23,Evidence_Climate_B2.0_137,T
Claims_Climate_B2.0_23,Evidence_Climate_B2.0_138,T
Claims_Climate_B2.0_24,Evidence_Climate_B2.0_139,F
Claims_Climate_B2.0_24,Evidence_Climate_B2.0_140,F
Claims_Climate_B2.0_24,Evidence_Climate_B2.0_141,F
Claims_Climate_B2.0_24,Evidence_Climate_B2.0_142,F
Claims_Climate_B2.0_24,Evidence_Climate_B2.0_143,F
Claims_Climate_B2.0_24,Evidence_Climate_B2.0_144,F
Claims_Climate_B2.0_25,Evidence_Climate_B2.0_145,T
Claims_Climate_B2.0_25,Evidence_Climate_B2.0_146,T
Claims_Climate_B2.0_25,Evidence_Climate_B2.0_147,T
Claims_Climate_B2.0_25,Evidence_Climate_B2.0_148,T
Claims_Climate_B2.0_25,Evidence_Climate_B2.0_149,T
Claims_Climate_B2.0_25,Evidence_Climate_B2.0_150,T
Claims_Climate_B2.0_26,Evidence_Climate_B2.0_151,N
Claims_Climate_B2.0_26,Evidence_Climate_B2.0_152,N
Claims_Climate_B2.0_26,Evidence_Climate_B2.0_153,N
Claims_Climate_B2.0_26,Evidence_Climate_B2.0_154,N
Claims_Climate_B2.0_26,Evidence_Climate_B2.0_155,N
Claims_Climate_B2.0_26,Evidence_Climate_B2.0_156,N
Claims_Climate_B2.0_27,Evidence_Climate_B2.0_157,T
Claims_Climate_B2.0_27,Evidence_Climate_B2.0_158,T
Claims_Climate_B2.0_27,Evidence_Climate_B2.0_159,T
Claims_Climate_B2.0_27,Evidence_Climate_B2.0_160,T
Claims_Climate_B2.0_27,Evidence_Climate_B2.0_161,T
Claims_Climate_B2.0_27,Evidence_Climate_B2.0_162,T
Claims_Climate_B2.0_28,Evidence_Climate_B2.0_163,T
Claims_Climate_B2.0_28,Evidence_Climate_B2.0_164,T
Claims_Climate_B2.0_28,Evidence_Climate_B2.0_165,T
Claims_Climate_B2.0_28,Evidence_Climate_B2.0_166,T
Claims_Climate_B2.0_28,Evidence_Climate_B2.0_167,T
Claims_Climate_B2.0_28,Evidence_Climate_B2.0_168,T
Claims_Climate_B2.0_29,Evidence_Climate_B2.0_169,F
Claims_Climate_B2.0_29,Evidence_Climate_B2.0_170,F
Claims_Climate_B2.0_29,Evidence_Climate_B2.0_171,F
Claims_Climate_B2.0_29,Evidence_Climate_B2.0_172,F
Claims_Climate_B2.0_29,Evidence_Climate_B2.0_173,F
Claims_Climate_B2.0_29,Evidence_Climate_B2.0_174,F
Claims_Climate_B2.0_30,Evidence_Climate_B2.0_175,N
Claims_Climate_B2.0_30,Evidence_Climate_B2.0_176,N
Claims_Climate_B2.0_30,Evidence_Climate_B2.0_177,N
Claims_Climate_B2.0_30,Evidence_Climate_B2.0_178,N
Claims_Climate_B2.0_30,Evidence_Climate_B2.0_179,N
Claims_Climate_B2.0_30,Evidence_Climate_B2.0_180,N
Claims_Climate_B2.0_31,Evidence_Climate_B2.0_181,N
Claims_Climate_B2.0_31,Evidence_Climate_B2.0_182,N
Claims_Climate_B2.0_31,Evidence_Climate_B2.0_183,N
Claims_Climate_B2.0_31,Evidence_Climate_B2.0_184,N
Claims_Climate_B2.0_31,Evidence_Climate_B2.0_185,N
Claims_Climate_B2.0_31,Evidence_Climate_B2.0_186,N
Claims_Climate_B2.0_32,Evidence_Climate_B2.0_187,T
Claims_Climate_B2.0_32,Evidence_Climate_B2.0_188,T
Claims_Climate_B2.0_32,Evidence_Climate_B2.0_189,T
Claims_Climate_B2.0_32,Evidence_Climate_B2.0_190,T
Claims_Climate_B2.0_32,Evidence_Climate_B2.0_191,T
Claims_Climate_B2.0_32,Evidence_Climate_B2.0_192,T
Claims_Climate_B2.0_33,Evidence_Climate_B2.0_193,T
Claims_Climate_B2.0_33,Evidence_Climate_B2.0_194,T
Claims_Climate_B2.0_33,Evidence_Climate_B2.0_195,T
Claims_Climate_B2.0_33,Evidence_Climate_B2.0_196,T
Claims_Climate_B2.0_33,Evidence_Climate_B2.0_197,T
Claims_Climate_B2.0_33,Evidence_Climate_B2.0_198,T
Claims_Climate_B2.0_34,Evidence_Climate_B2.0_199,F
Claims_Climate_B2.0_34,Evidence_Climate_B2.0_200,F
Claims_Climate_B2.0_34,Evidence_Climate_B2.0_201,F
Claims_Climate_B2.0_34,Evidence_Climate_B2.0_202,F
Claims_Climate_B2.0_34,Evidence_Climate_B2.0_203,F
Claims_Climate_B2.0_34,Evidence_Climate_B2.0_204,F
Claims_Climate_B2.0_35,Evidence_Climate_B2.0_205,F
Claims_Climate_B2.0_35,Evidence_Climate_B2.0_206,F
Claims_Climate_B2.0_35,Evidence_Climate_B2.0_207,F
Claims_Climate_B2.0_35,Evidence_Climate_B2.0_208,F
Claims_Climate_B2.0_35,Evidence_Climate_B2.0_209,F
Claims_Climate_B2.0_35,Evidence_Climate_B2.0_210,F
Claims_Climate_B2.0_36,Evidence_Climate_B2.0_211,N
Claims_Climate_B2.0_36,Evidence_Climate_B2.0_212,N
Claims_Climate_B2.0_36,Evidence_Climate_B2.0_213,N
Claims_Climate_B2.0_36,Evidence_Climate_B2.0_214,N
Claims_Climate_B2.0_36,Evidence_Climate_B2.0_215,N
Claims_Climate_B2.0_36,Evidence_Climate_B2.0_216,N
Claims_Climate_B2.0_37,Evidence_Climate_B2.0_217,T
Claims_Climate_B2.0_37,Evidence_Climate_B2.0_218,T
Claims_Climate_B2.0_37,Evidence_Climate_B2.0_219,T
Claims_Climate_B2.0_37,Evidence_Climate_B2.0_220,T
Claims_Climate_B2.0_37,Evidence_Climate_B2.0_221,T
Claims_Climate_B2.0_37,Evidence_Climate_B2.0_222,T
Claims_Climate_B2.0_38,Evidence_Climate_B2.0_223,F
Claims_Climate_B2.0_38,Evidence_Climate_B2.0_224,F
Claims_Climate_B2.0_38,Evidence_Climate_B2.0_225,F
Claims_Climate_B2.0_38,Evidence_Climate_B2.0_226,F
Claims_Climate_B2.0_38,Evidence_Climate_B2.0_227,F
Claims_Climate_B2.0_38,Evidence_Climate_B2.0_228,F
Claims_Climate_B2.0_39,Evidence_Climate_B2.0_229,F
Claims_Climate_B2.0_39,Evidence_Climate_B2.0_230,F
Claims_Climate_B2.0_39,Evidence_Climate_B2.0_231,F
Claims_Climate_B2.0_39,Evidence_Climate_B2.0_232,F
Claims_Climate_B2.0_39,Evidence_Climate_B2.0_233,F
Claims_Climate_B2.0_39,Evidence_Climate_B2.0_234,F
Claims_Climate_B2.0_40,Evidence_Climate_B2.0_235,T
Claims_Climate_B2.0_40,Evidence_Climate_B2.0_236,T
Claims_Climate_B2.0_40,Evidence_Climate_B2.0_237,T
Claims_Climate_B2.0_40,Evidence_Climate_B2.0_238,T
Claims_Climate_B2.0_40,Evidence_Climate_B2.0_239,T
Claims_Climate_B2.0_40,Evidence_Climate_B2.0_240,T
Claims_Climate_B2.0_41,Evidence_Climate_B2.0_241,T
Claims_Climate_B2.0_41,Evidence_Climate_B2.0_242,T
Claims_Climate_B2.0_41,Evidence_Climate_B2.0_243,T
Claims_Climate_B2.0_41,Evidence_Climate_B2.0_244,T
Claims_Climate_B2.0_41,Evidence_Climate_B2.0_245,T
Claims_Climate_B2.0_41,Evidence_Climate_B2.0_246,T
Claims_Climate_B2.0_42,Evidence_Climate_B2.0_247,F
Claims_Climate_B2.0_42,Evidence_Climate_B2.0_248,F
Claims_Climate_B2.0_42,Evidence_Climate_B2.0_249,F
Claims_Climate_B2.0_42,Evidence_Climate_B2.0_250,F
Claims_Climate_B2.0_42,Evidence_Climate_B2.0_251,F
Claims_Climate_B2.0_42,Evidence_Climate_B2.0_252,F
Claims_Climate_B2.0_43,Evidence_Climate_B2.0_253,N
Claims_Climate_B2.0_43,Evidence_Climate_B2.0_254,N
Claims_Climate_B2.0_43,Evidence_Climate_B2.0_255,N
Claims_Climate_B2.0_43,Evidence_Climate_B2.0_256,N
Claims_Climate_B2.0_43,Evidence_Climate_B2.0_257,N
Claims_Climate_B2.0_43,Evidence_Climate_B2.0_258,N
Claims_Climate_B2.0_44,Evidence_Climate_B2.0_259,T
Claims_Climate_B2.0_44,Evidence_Climate_B2.0_260,T
Claims_Climate_B2.0_44,Evidence_Climate_B2.0_261,T
Claims_Climate_B2.0_44,Evidence_Climate_B2.0_262,T
Claims_Climate_B2.0_44,Evidence_Climate_B2.0_263,T
Claims_Climate_B2.0_44,Evidence_Climate_B2.0_264,T
Claims_Climate_B2.0_45,Evidence_Climate_B2.0_265,T
Claims_Climate_B2.0_45,Evidence_Climate_B2.0_266,T
Claims_Climate_B2.0_45,Evidence_Climate_B2.0_267,T
Claims_Climate_B2.0_45,Evidence_Climate_B2.0_268,T
Claims_Climate_B2.0_45,Evidence_Climate_B2.0_269,T
Claims_Climate_B2.0_45,Evidence_Climate_B2.0_270,T
Claims_Climate_B2.0_46,Evidence_Climate_B2.0_271,T
Claims_Climate_B2.0_46,Evidence_Climate_B2.0_272,T
Claims_Climate_B2.0_46,Evidence_Climate_B2.0_273,T
Claims_Climate_B2.0_46,Evidence_Climate_B2.0_274,T
Claims_Climate_B2.0_46,Evidence_Climate_B2.0_275,T
Claims_Climate_B2.0_46,Evidence_Climate_B2.0_276,T
Claims_Climate_B2.0_47,Evidence_Climate_B2.0_277,F
Claims_Climate_B2.0_47,Evidence_Climate_B2.0_278,F
Claims_Climate_B2.0_47,Evidence_Climate_B2.0_279,F
Claims_Climate_B2.0_47,Evidence_Climate_B2.0_280,F
Claims_Climate_B2.0_47,Evidence_Climate_B2.0_281,F
Claims_Climate_B2.0_47,Evidence_Climate_B2.0_282,F
Claims_Climate_B2.0_48,Evidence_Climate_B2.0_283,T
Claims_Climate_B2.0_48,Evidence_Climate_B2.0_284,T
Claims_Climate_B2.0_48,Evidence_Climate_B2.0_285,T
Claims_Climate_B2.0_48,Evidence_Climate_B2.0_286,T
Claims_Climate_B2.0_48,Evidence_Climate_B2.0_287,T
Claims_Climate_B2.0_48,Evidence_Climate_B2.0_288,T
Claims_Climate_B2.0_49,Evidence_Climate_B2.0_289,N
Claims_Climate_B2.0_49,Evidence_Climate_B2.0_290,N
Claims_Climate_B2.0_49,Evidence_Climate_B2.0_291,N
Claims_Climate_B2.0_49,Evidence_Climate_B2.0_292,N
Claims_Climate_B2.0_49,Evidence_Climate_B2.0_293,N
Claims_Climate_B2.0_49,Evidence_Climate_B2.0_294,N
Claims_Climate_B2.0_50,Evidence_Climate_B2.0_295,T
Claims_Climate_B2.0_50,Evidence_Climate_B2.0_296,T
Claims_Climate_B2.0_50,Evidence_Climate_B2.0_297,T
Claims_Climate_B2.0_50,Evidence_Climate_B2.0_298,T
Claims_Climate_B2.0_50,Evidence_Climate_B2.0_299,T
Claims_Climate_B2.0_50,Evidence_Climate_B2.0_300,T
Claims_Climate_B2.0_51,Evidence_Climate_B2.0_301,F
Claims_Climate_B2.0_51,Evidence_Climate_B2.0_302,F
Claims_Climate_B2.0_51,Evidence_Climate_B2.0_303,F
Claims_Climate_B2.0_51,Evidence_Climate_B2.0_304,F
Claims_Climate_B2.0_51,Evidence_Climate_B2.0_305,F
Claims_Climate_B2.0_51,Evidence_Climate_B2.0_306,F
Claims_Climate_B2.0_52,Evidence_Climate_B2.0_307,F
Claims_Climate_B2.0_52,Evidence_Climate_B2.0_308,F
Claims_Climate_B2.0_52,Evidence_Climate_B2.0_309,F
Claims_Climate_B2.0_52,Evidence_Climate_B2.0_310,F
Claims_Climate_B2.0_52,Evidence_Climate_B2.0_311,F
Claims_Climate_B2.0_52,Evidence_Climate_B2.0_312,F
Claims_Climate_B2.0_53,Evidence_Climate_B2.0_313,T
Claims_Climate_B2.0_53,Evidence_Climate_B2.0_314,T
Claims_Climate_B2.0_53,Evidence_Climate_B2.0_315,T
Claims_Climate_B2.0_53,Evidence_Climate_B2.0_316,T
Claims_Climate_B2.0_53,Evidence_Climate_B2.0_317,T
Claims_Climate_B2.0_53,Evidence_Climate_B2.0_318,T
Claims_Climate_B2.0_54,Evidence_Climate_B2.0_319,F
Claims_Climate_B2.0_54,Evidence_Climate_B2.0_320,F
Claims_Climate_B2.0_54,Evidence_Climate_B2.0_321,F
Claims_Climate_B2.0_54,Evidence_Climate_B2.0_322,F
Claims_Climate_B2.0_54,Evidence_Climate_B2.0_323,F
Claims_Climate_B2.0_54,Evidence_Climate_B2.0_324,F
Claims_Covid_B2.0_55,Evidence_Covid_B2.0_1,T
Claims_Covid_B2.0_55,Evidence_Covid_B2.0_2,T
Claims_Covid_B2.0_55,Evidence_Covid_B2.0_3,T
Claims_Covid_B2.0_55,Evidence_Covid_B2.0_4,T
Claims_Covid_B2.0_55,Evidence_Covid_B2.0_5,T
Claims_Covid_B2.0_55,Evidence_Covid_B2.0_6,T
Claims_Covid_B2.0_56,Evidence_Covid_B2.0_7,F
Claims_Covid_B2.0_56,Evidence_Covid_B2.0_8,F
Claims_Covid_B2.0_56,Evidence_Covid_B2.0_9,F
Claims_Covid_B2.0_56,Evidence_Covid_B2.0_10,F
Claims_Covid_B2.0_56,Evidence_Covid_B2.0_11,F
Claims_Covid_B2.0_56,Evidence_Covid_B2.0_12,F
Claims_Covid_B2.0_57,Evidence_Covid_B2.0_13,T
Claims_Covid_B2.0_57,Evidence_Covid_B2.0_14,T
Claims_Covid_B2.0_57,Evidence_Covid_B2.0_15,T
Claims_Covid_B2.0_57,Evidence_Covid_B2.0_16,T
Claims_Covid_B2.0_57,Evidence_Covid_B2.0_17,T
Claims_Covid_B2.0_57,Evidence_Covid_B2.0_18,T
Claims_Covid_B2.0_58,Evidence_Covid_B2.0_19,T
Claims_Covid_B2.0_58,Evidence_Covid_B2.0_20,T
Claims_Covid_B2.0_58,Evidence_Covid_B2.0_21,T
Claims_Covid_B2.0_58,Evidence_Covid_B2.0_22,T
Claims_Covid_B2.0_58,Evidence_Covid_B2.0_23,T
Claims_Covid_B2.0_58,Evidence_Covid_B2.0_24,T
Claims_Covid_B2.0_59,Evidence_Covid_B2.0_25,T
Claims_Covid_B2.0_59,Evidence_Covid_B2.0_26,T
Claims_Covid_B2.0_59,Evidence_Covid_B2.0_27,T
Claims_Covid_B2.0_59,Evidence_Covid_B2.0_28,T
Claims_Covid_B2.0_59,Evidence_Covid_B2.0_29,T
Claims_Covid_B2.0_59,Evidence_Covid_B2.0_30,T
Claims_Covid_B2.0_60,Evidence_Covid_B2.0_31,T
Claims_Covid_B2.0_60,Evidence_Covid_B2.0_32,T
Claims_Covid_B2.0_60,Evidence_Covid_B2.0_33,T
Claims_Covid_B2.0_60,Evidence_Covid_B2.0_34,T
Claims_Covid_B2.0_60,Evidence_Covid_B2.0_35,T
Claims_Covid_B2.0_60,Evidence_Covid_B2.0_36,T
Claims_Covid_B2.0_61,Evidence_Covid_B2.0_37,F
Claims_Covid_B2.0_61,Evidence_Covid_B2.0_38,F
Claims_Covid_B2.0_61,Evidence_Covid_B2.0_39,F
Claims_Covid_B2.0_61,Evidence_Covid_B2.0_40,F
Claims_Covid_B2.0_61,Evidence_Covid_B2.0_41,F
Claims_Covid_B2.0_61,Evidence_Covid_B2.0_42,F
Claims_Covid_B2.0_62,Evidence_Covid_B2.0_43,T
Claims_Covid_B2.0_62,Evidence_Covid_B2.0_44,T
Claims_Covid_B2.0_62,Evidence_Covid_B2.0_45,T
Claims_Covid_B2.0_62,Evidence_Covid_B2.0_46,T
Claims_Covid_B2.0_62,Evidence_Covid_B2.0_47,T
Claims_Covid_B2.0_62,Evidence_Covid_B2.0_48,T
Claims_Covid_B2.0_63,Evidence_Covid_B2.0_49,T
Claims_Covid_B2.0_63,Evidence_Covid_B2.0_50,T
Claims_Covid_B2.0_63,Evidence_Covid_B2.0_51,T
Claims_Covid_B2.0_63,Evidence_Covid_B2.0_52,T
Claims_Covid_B2.0_63,Evidence_Covid_B2.0_53,T
Claims_Covid_B2.0_63,Evidence_Covid_B2.0_54,T
Claims_Covid_B2.0_64,Evidence_Covid_B2.0_55,T
Claims_Covid_B2.0_64,Evidence_Covid_B2.0_56,T
Claims_Covid_B2.0_64,Evidence_Covid_B2.0_57,T
Claims_Covid_B2.0_64,Evidence_Covid_B2.0_58,T
Claims_Covid_B2.0_64,Evidence_Covid_B2.0_59,T
Claims_Covid_B2.0_64,Evidence_Covid_B2.0_60,T
Claims_Covid_B2.0_65,Evidence_Covid_B2.0_61,T
Claims_Covid_B2.0_65,Evidence_Covid_B2.0_62,T
Claims_Covid_B2.0_65,Evidence_Covid_B2.0_63,T
Claims_Covid_B2.0_65,Evidence_Covid_B2.0_64,T
Claims_Covid_B2.0_65,Evidence_Covid_B2.0_65,T
Claims_Covid_B2.0_65,Evidence_Covid_B2.0_66,T
Claims_Covid_B2.0_66,Evidence_Covid_B2.0_67,T
Claims_Covid_B2.0_66,Evidence_Covid_B2.0_68,T
Claims_Covid_B2.0_66,Evidence_Covid_B2.0_69,T
Claims_Covid_B2.0_66,Evidence_Covid_B2.0_70,T
Claims_Covid_B2.0_66,Evidence_Covid_B2.0_71,T
Claims_Covid_B2.0_66,Evidence_Covid_B2.0_72,T
Claims_Covid_B2.0_67,Evidence_Covid_B2.0_73,T
Claims_Covid_B2.0_67,Evidence_Covid_B2.0_74,T
Claims_Covid_B2.0_67,Evidence_Covid_B2.0_75,T
Claims_Covid_B2.0_67,Evidence_Covid_B2.0_76,T
Claims_Covid_B2.0_67,Evidence_Covid_B2.0_77,T
Claims_Covid_B2.0_67,Evidence_Covid_B2.0_78,T
Claims_Covid_B2.0_68,Evidence_Covid_B2.0_79,T
Claims_Covid_B2.0_68,Evidence_Covid_B2.0_80,T
Claims_Covid_B2.0_68,Evidence_Covid_B2.0_81,T
Claims_Covid_B2.0_68,Evidence_Covid_B2.0_82,T
Claims_Covid_B2.0_68,Evidence_Covid_B2.0_83,T
Claims_Covid_B2.0_68,Evidence_Covid_B2.0_84,T
Claims_Covid_B2.0_69,Evidence_Covid_B2.0_85,T
Claims_Covid_B2.0_69,Evidence_Covid_B2.0_86,T
Claims_Covid_B2.0_69,Evidence_Covid_B2.0_87,T
Claims_Covid_B2.0_69,Evidence_Covid_B2.0_88,T
Claims_Covid_B2.0_69,Evidence_Covid_B2.0_89,T
Claims_Covid_B2.0_69,Evidence_Covid_B2.0_90,T
Claims_Covid_B2.0_70,Evidence_Covid_B2.0_91,F
Claims_Covid_B2.0_70,Evidence_Covid_B2.0_92,F
Claims_Covid_B2.0_70,Evidence_Covid_B2.0_93,F
Claims_Covid_B2.0_70,Evidence_Covid_B2.0_94,F
Claims_Covid_B2.0_70,Evidence_Covid_B2.0_95,F
Claims_Covid_B2.0_70,Evidence_Covid_B2.0_96,F
Claims_Covid_B2.0_71,Evidence_Covid_B2.0_97,T
Claims_Covid_B2.0_71,Evidence_Covid_B2.0_98,T
