Evidence_topic_id,Article_topic_id,Evidence_text
Evidence_Climate_B2.0_75,Emission trading scheme_9399,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax."
Evidence_Climate_B2.0_76,Emission trading scheme_9737,"On 14 July 2021, the European Commission adopted a series of legislative proposals setting out how it intends to achieve climate neutrality in the EU by 2050, including the intermediate target of an at least 55% net reduction in greenhouse gas emissions by 2030."
Evidence_Climate_B2.0_77,Emission trading scheme_9483,"The committee also agreed to expand the ETS scheme to cover shipping emissions from 2024 and to accelerate the phase-out of free allowances in a bid to speed up the decarbonisation of industries like cement, steel and chemicals."
Evidence_Climate_B2.0_78,Emission trading scheme_9442,Last July the European Commission proposed adding shipping to the ETS gradually from 2023 until 2026 when shipowners would need to buy permits covering all their emissions inside the EU and 50% of their emissions from international voyages starting and ending in the EU.
Evidence_Climate_B2.0_79,Emission trading scheme_9394,"It has been a very long journey and it is well past time we got going, said James Shaw, the climate change minister and Green party co-leader, adding that working with farmers to reduce emissions was a priority, rather than relying on offsetting emissions through forestry"
Evidence_Climate_B2.0_80,Emission trading scheme_9575,Climate change: James Shaw distances himself from agricultural emissions group proposals
Evidence_Climate_B2.0_81,Emission trading scheme_9600," New Zealand has a ""Herculean task to do in a nine-year period because we\'ve been a bit late getting started on reducing emissions, like many other countries"", climate change minister James Shaw said at the signing ceremony at the UN Cop 26 climate summit in Glasgow."
Evidence_Climate_B2.0_82,Emission trading scheme_9610,Marc Daalder explains Climate Change Minister James Shaw rang the NZX bell in Wellington to mark the start of the first ever auction of carbon credits under the Emissions Trading Scheme.
Evidence_Climate_B2.0_83,Emission trading scheme_9575,Climate change: James Shaw distances himself from agricultural emissions group proposals
Evidence_Climate_B2.0_84,Emission trading scheme_9600,"New Zealand has a ""Herculean task to do in a nine-year period because we\'ve been a bit late getting started on reducing emissions, like many other countries"", climate change minister James Shaw said at the signing ceremony at the UN Cop 26 climate summit in Glasgow."
Evidence_Climate_B2.0_85,Emission trading scheme_9679,"Given the failure that is vocational education provider Te Pukenga, its lack of accountability with Te Whatu Ora and the reaction to its Three Waters programme, Jacinda Ardern is now under increasing pressure to show voters that the agriculture emissions scheme must be more than a proposal and become reality."
Evidence_Climate_B2.0_86,Emission trading scheme_9763,New Zealand Prime Minister Jacinda Ardern has sparked controversy over a proposed farmers tax on cow and sheep gases to reduce greenhouse emissions.
Evidence_Climate_B2.0_87,Emission trading scheme_9394,"It has been a very long journey and it is well past time we got going, said James Shaw, the climate change minister and Green party co-leader, adding that working with farmers to reduce emissions was a priority, rather than relying on offsetting emissions through forestry"
Evidence_Climate_B2.0_88,Emission trading scheme_9753,"There is no question that we need to cut the amount of methane we are putting into the atmosphere, and an effective emissions pricing system for agriculture will play a key part in how we achieve that,"" New Zealand\'s climate change minister James Shaw said."
Evidence_Climate_B2.0_89,Emission trading scheme_9753,New Zealand has unveiled a plan to tax sheep and cattle burps in a bid to tackle one of the country's biggest sources of greenhouse gases.
Evidence_Climate_B2.0_90,Emission trading scheme_9871,Press Release  ACT New ZealandThe targets set by James Shaw under the Zero Carbon Act were never achievable and the High Courts recent ruling proves it.
Evidence_Climate_B2.0_91,Emission trading scheme_9395,"The intended collaboration centers around IDX's emission trading scheme that is slated to launch in 2025, and MVGX's job is to help IDX build a carbon registry and exchange with blockchain as the infrastructure layer, TechCrunch's Rita Liao reports."
Evidence_Climate_B2.0_92,Emission trading scheme_9408,Indonesia's scheme will not be a classic cap-and-trade system as it will not limit the total emissions of coal-fired power plants. In some ways it will operate more like a baseline-and-credit system that sets different benchmarks for different categories of coal-fired power plants.
Evidence_Climate_B2.0_93,Emission trading scheme_9408,"View all partnersSenior Analyst, Climateworks CentreSenior Analyst (Economics and Governance), Climateworks CentreIndonesia, one of the biggest emitters  in the world, is planning to launch its pilot emissions trading scheme in July, which can possibly become the first national carbon market in Southeast Asia."
Evidence_Climate_B2.0_94,Emission trading scheme_9414,"View all partnersSenior Analyst (Economics and Governance), Climateworks CentreSenior Analyst, Climateworks CentreIndonesia, one of the world's biggest coal producers and greenhouse emitters, plans to launch its pilot emissions trading scheme in July, which can possibly lead to the implementation of the first national carbon market in Southeast Asia."
Evidence_Climate_B2.0_95,Emission trading scheme_9614,"Indonesia plans to bring forward its peak in greenhouse gas (GHG) emissions from electricity generation, following Jarkata's agreement to a plan co-led by the US and Japan that will require $20bn in public and private financing over a 3-5 year period."
Evidence_Climate_B2.0_96,Emission trading scheme_9638,"The Oceania nation, situated north of Australia and neighbouring Indonesia, has over 90 per cent of its 463,000 km_ of land covered by forests, but logging and commercial farming in the early years of this centuryhave caused 0.5 per cent of its forests to be lost annually, according to a US-based group, Coalition for Rainforest Nations."
Evidence_Climate_B2.0_97,Emission trading scheme_9400,"For people deeply embedded in the mechanics of how governments plan to cut greenhouse gas emissions, the safeguard mechanism has become a reasonably familiar subject since it was introduced by the Coalition six years ago  even though the Morrison government and its predecessors didn't like to talk about it much."
Evidence_Climate_B2.0_98,Emission trading scheme_9420,"Yes, if Labor's much-anticipated paper on fixing Australia's mediocre emissions-reduction framework, released today, is any guide.At present, Australia relies on the controversial safeguard mechanism to encourage big emitters such as fossil fuel power plants and manufacturers to reduce their pollution.This framework  alongside the Emissions Reduction Fund  was introduced during the Coalition years to reduce carbon dioxide pollution at low cost."
Evidence_Climate_B2.0_99,Emission trading scheme_9752,"As well as the review into ACCUsthe federal government has also initiated a review into the Safeguard Mechanism, which will put requirements on the big polluters to shrink their emissions."
Evidence_Climate_B2.0_100,Emission trading scheme_9795,"The surge in activity is a sign of growing confidence that Climate Change and Energy Minister Chris Bowen's safeguard mechanism changes are on track to begin in July, and suggests some investors are betting Ian Chubb's review of Australian Carbon Credit Units (ACCUs) will remove doubts about the credibility of some credits."
Evidence_Climate_B2.0_101,Emission trading scheme_9868,Not mentioned by the Daily Telegraph either is that the safeguard mechanism  covering the 215 biggest polluting facilities  was introduced by the Coalition and designed to eventually cut emissions from heavy industry
Evidence_Climate_B2.0_102,Emission trading scheme_9873,"The question is, will Labor seize the chance to move away from them, and instead reduce emissions?What's the best way forward for Australia?Let's say Labor's tweaks to the safeguard mechanism become law."
Evidence_Climate_B2.0_103,Emission trading scheme_9402,"Last week, the Green Party released a discussion document on what it's called an excess profits tax."
Evidence_Climate_B2.0_104,Emission trading scheme_9402,"The proposal comes on the back of data showing that in the 2021 financial year, corporate profits reached $103 billion, up $24.5 billion on the previous year. And you'll recall that the corporate tax take for the year to June 2022 was almost $20 billion."
Evidence_Climate_B2.0_105,Emission trading scheme_9647," But it is also only fair that the top 1% of UK earners, who are disproportionately responsible for such a large amount of the UK's greenhouse gas emissions, pay a wealth tax."
Evidence_Climate_B2.0_106,Emission trading scheme_9559,"In our latest review of sector coverage in the national media, the government is said to be mulling plans to extend the energy windfall tax and expand its scope to include low-carbon generators."
Evidence_Climate_B2.0_107,Emission trading scheme_9932,"Pressed on the issue by Green Party MP Caroline Lucas during Prime Minister's Questions today, the Prime Minister said he stands by the moratorium."
Evidence_Climate_B2.0_108,Emission trading scheme_9537,"Professor of International Politics, University of ManchesterMatthew Paterson is a member of the Green Party."
Evidence_Climate_B2.0_109,Emission trading scheme_9647,"The top 1% of earners in the UK are responsible for the same amount of carbon dioxide emissions in a single year as the bottom 10% over more than two decades, new data has shown."
Evidence_Climate_B2.0_110,Emission trading scheme_9883,"Nonetheless, similar to     other European countries, most of the fiscal support has gone to measures     that are untargeted and distort price signals, such as electricity tax     reductions and fuel rebates."
Evidence_Climate_B2.0_111,Emission trading scheme_9715,"One chastised the highly inadequate steps to date by rich nations to cut emissions of Earth-warming greenhouse gases, such as those from burning fossil fuels."
Evidence_Climate_B2.0_112,Emission trading scheme_9615,"However, CO2 emission allowances quickly became financial instruments in the hands of wealthy investors."
Evidence_Climate_B2.0_113,Emission trading scheme_9688,"As his fortune grew, Bankman-Fried turned to more traditional pastimes of the galactically wealthy: political donorship and philanthropy."
Evidence_Climate_B2.0_114,Emission trading scheme_9699,"The remainder is budgetary income, which the EU does allow to be used to soften the blow caused by high energy prices."
Evidence_Climate_B2.0_115,Emission trading scheme_9665,"The restraint lasted until two years ago, when Pepsi reentered the market with gusto, purchasing 1.4 million creditsor the 15th biggest amount, according to the CDP data. That allowed Pepsi to claim it had slashed climate-warming pollution from its operations by almost a quarter since 2015.In a statement to Bloomberg Green, Pepsi officials said they're transitioning to power purchase agreements that put new renewable electricity on the grid, having signed six such deals since 2020"
Evidence_Climate_B2.0_116,Emission trading scheme_9665,"These critiques are well heard and appreciated, says Michael Macrae, a senior manager at WRI.To be sure, some of the ensuing clean energy contracts have had major climate benefits. Last year, for instance, more than 100 companies including Amazon.com, Nestl, and Target signed long-term power purchase agreements (PPAs) for wind or solar power."
Evidence_Climate_B2.0_117,Emission trading scheme_9743,"In order to qualify for compensation, companies will have to either (i) implement certain measures identified in their energy management system' (i.e. the companies' plan setting energy efficiency objectives and a strategy to achieve them) or (ii) cover at least 30% of their electricity consumption with renewable sources (through on-site renewable energy generation facilities, power purchase agreements or guarantees of origin)."
Evidence_Climate_B2.0_118,Emission trading scheme_9705,"The instruments that companies reported to reduce their emissions were classified into three categories: Power Purchase Agreements (PPAs), Unbundled Renewable Energy Credits (RECs), and Other."
Evidence_Climate_B2.0_119,Emission trading scheme_9740,"In order to qualify for compensation, companies will have to either implement certain energy audit recommendations, cover at least 30% of their electricity consumption with carbon-free sources (through on-site renewable energy generation facilities, carbon-free power purchase agreements or guarantees of origin), or invest at least 50 % of the aid amount in projects leading to substantial reductions of their installation's greenhouse gas emissions."
Evidence_Climate_B2.0_120,Emission trading scheme_9740,"The Commission found that the scheme is necessary and appropriate to support energy-intensive companies to cope with the higher electricity prices and to avoid that companies relocate to countries outside the EU with less ambitious climate policies, resulting in an increase in global greenhouse gas emissions."
Evidence_Climate_B2.0_121,Emission trading scheme_9567,"Commentators predict that, as the Asian market develops, corporate power purchase agreements are likely to become the norm  a trend that will only encourage further development and overseas investment."
Evidence_Climate_B2.0_122,Emission trading scheme_9705,"For the trend analysis, we looked at companies that submitted data every year during the study period, some 534 companies globally. The instruments that companies reported to reduce their emissions were classified into three categories: Power Purchase Agreements (PPAs), Unbundled Renewable Energy Credits (RECs), and Other."
Evidence_Climate_B2.0_123,Emission trading scheme_9511,View ResultsMassachusetts denies Avangrid motion to delay review of power purchase agreements 
Evidence_Climate_B2.0_124,Emission trading scheme_9740,"In order to qualify for compensation, companies will have to either implement certain energy audit recommendations, cover at least 30% of their electricity consumption with carbon-free sources (through on-site renewable energy generation facilities, carbon-free power purchase agreements or guarantees of origin), or invest at least 50 % of the aid amount in projects leading to substantial reductions of their installation's greenhouse gas emissions."
Evidence_Climate_B2.0_125,Emission trading scheme_9705,"Analysis of instruments companies used to claim lower market-based emissionsA total of 2,078 companies globally submitted valid data about their renewable energy contracts to CDP at least once in the four-year study period."
Evidence_Climate_B2.0_126,Emission trading scheme_9705,"The instruments that companies reported to reduce their emissions were classified into three categories: Power Purchase Agreements (PPAs), Unbundled Renewable Energy Credits (RECs), and Other."
Evidence_Climate_B2.0_127,Emission trading scheme_9751,"Following a study carried out, it was concluded that between 2005 and 2007, the ETS reduced emissions by approximately 210 million tonnes across Europe."
Evidence_Climate_B2.0_128,Emission trading scheme_9431,"Greenhouse gas emissions from stationary installations in the EU ETS decreased from 1,530 million tonnes of carbon dioxide equivalent (MtCO2e) in 2019 to 1,355MtCO2e in 2020, a reduction of 11.4%. This represents the largest drop in emissions since the ETS began operating in 2005"
Evidence_Climate_B2.0_129,Emission trading scheme_9609,"In the first phase, from 2005 to 2007, virtually 100% of carbon credits entering the market were given out for free, falling to an average of 96% during phase 2, from 2008 to 2012, according to an analysis of market data by carbon market NGO Sandbag, carried out for Carbon Brief, shown in the chart, below."
Evidence_Climate_B2.0_130,Emission trading scheme_9738,"Installations covered by the ETS reduced emissions by about 35% between 2005 and 2019.The introduction of the Market Stability Reserve in 2019 has resulted in higher and more robust carbon prices, which helped to ensure a year on year total emissions reduction of 9% in 2019, with a 14.9% reduction in electricity and heat production and a 1.9% reduction in industry."
Evidence_Climate_B2.0_131,Emission trading scheme_9757,"More recently, my colleagues and I found that their ETS pilot for particulate in Surat reduced emissions by 24% with little cost for industry."
Evidence_Climate_B2.0_132,Emission trading scheme_9852," It effectively doubles the existing hydrogen target for 2030, setting a target of 10 million tonnes of domestic renewable hydrogen_production and 10 million tonnes of imports by 2030.When it comes to wind resources, Ireland has a significant geographic advantage."
Evidence_Climate_B2.0_133,Emission trading scheme_9403,"AccessesMetrics detailsTo achieve the goal of energy conservation and emission reduction, China has launched its national carbon-emission trading scheme (ETS)."
Evidence_Climate_B2.0_134,Emission trading scheme_9407,"China's new emissions trading system (ETS) is already the world's largest carbon market, three times bigger than the European Union's."
Evidence_Climate_B2.0_135,Emission trading scheme_9772,The negotiating teams of the Council and the European Parliament have agreed on stricter targets for the sharing of efforts to reduce pollutant emissions by 2030 for sectors such as road transport or agriculture that are not covered by the European emissions trading system (ETS).
Evidence_Climate_B2.0_136,Emission trading scheme_9760," May 4, 2022During a webinar held in late April 2022, stakeholders from across Europe discussed the proposed new EU Emissions Trading System (ETS2) covering road transport and heating for buildings."
Evidence_Climate_B2.0_137,Emission trading scheme_9407,China's ETS became fully operational in 2021 when companies under the program were required to deposit emission permits with the government to account for a portion of their 2019 and 2020 emissions.
Evidence_Climate_B2.0_138,Emission trading scheme_9773,"We established the first environment ministry in Canada in 1971, created the first climate plan in Canada in 1998, introduced the first North American carbon price on industrial emissions and emissions trading system in 2007, and currently have an internationally recognized, methane emissions reduction framework."
