Claim_topic_id,Claim_text
Claims_Covid_B2.0_144,Medline Industries fired people for getting a covid-19 vaccine
Claims_Covid_B2.0_145,Died Suddenly is an pro-vaccine movie
Claims_Covid_B2.0_146,Johnson & Johnson did not make a Covid-19 vaccine
Claims_Covid_B2.0_147,US Military did not have a vaccine mandate
Claims_Covid_B2.0_148,A combined COVID-flu vaccine is not being developed
Claims_Covid_B2.0_149,A universal flu vaccine is not being developed
Claims_Covid_B2.0_150,Clinics weren't held to receive both the COVID-19 vaccine and the flu shot
Claims_Covid_B2.0_151,China had a high vaccination rate
Claims_Covid_B2.0_152,"A tripledemic of covid, flu and RSV will benefit the world"
Claims_Covid_B2.0_153,Singapore Parents Hesitant to Vaccinate Children
Claims_Covid_B2.0_154,COVID-19 vaccine less effective in preventing symptomatic disease with the omicron variant
Claims_Covid_B2.0_155, Masking and social distancing have caused immunity debt
Claims_Covid_B2.0_156,BN.1 Covid strain is vaccine resistant
Claims_Covid_B2.0_157,People with Asthma suffer more severely if they catch Covid-19
Claims_Covid_B2.0_158,People with chronic kidney suffer more severely if they catch Covid-19
Claims_Covid_B2.0_159,People with liver disease suffer more severely if they catch Covid-19
Claims_Covid_B2.0_160,People with cancer suffer more severely if they catch Covid-19
Claims_Covid_B2.0_161,People with a weakened immune system suffer more severely if they catch Covid-19
Claims_Covid_B2.0_162,People who have had a stroke suffer more severely if they catch Covid-19
Claims_Covid_B2.0_163,People living with dementia suffer more severely if they catch Covid-19
Claims_Covid_B2.0_164,An influenza-based pandemic is only a matter of time
Claims_Covid_B2.0_165,Challenging to create mRNA vaccines quickly
Claims_Covid_B2.0_166,XBB variant caused a wave of infections in Singapore
Claims_Covid_B2.0_167,Vulnerable people should take antivirals for covid
Claims_Covid_B2.0_168,Masks in hospitals and other health settings are hard to interpret
Claims_Covid_B2.0_169,The Sun’s Do The Double campaign boosts vaccine uptake
Claims_Covid_B2.0_170,China and Indonesia to work together to develop covid-19 vaccine
Claims_Covid_B2.0_171,COVID-19 Vaccines Causes Eczema
Claims_Covid_B2.0_172,COVID-19 Vaccines Affects Eczema Sufferers
Claims_Covid_B2.0_173,COVID-19 vaccines offer protection against reinfection
Claims_Covid_B2.0_174,COVID-19 vaccine offers protection against hospitalisation
Claims_Covid_B2.0_175,COVID-19 vaccine offers protection against hospitalisation
Claims_Covid_B2.0_176,Reinfection of Covid more likely to cause lung issues.
Claims_Covid_B2.0_177,Reinfection of Covid more likely to cause heart issues.
Claims_Covid_B2.0_178,Reinfection of Covid more likely to cause brain issues.
Claims_Covid_B2.0_179,Reinfection of Covid more likely to cause blood issues.
Claims_Covid_B2.0_180,Reinfection of Covid more likely to cause muscle issues.
Claims_Covid_B2.0_181,Reinfection of Covid more likely to cause digestion issues.
Claims_Covid_B2.0_182,Having covid makes you immune to covid
Claims_Covid_B2.0_183,Covid vaccine is useless
Claims_Covid_B2.0_184,Vaccines Helped to Control COVID-19
Claims_Covid_B2.0_185,COVID-19 disrupted social interactions worldwide.
Claims_Covid_B2.0_186,COVID-19 disrupted economic activity worldwide.
Claims_Covid_B2.0_187,Patients who fail to mount an antibody response are more likely to die from COVID-19
Claims_Covid_B2.0_187,Patients who fail to mount an antibody response are more likely to die from COVID-20
Claims_Covid_B2.0_187,Patients who fail to mount an antibody response are more likely to die from COVID-21
Claims_Covid_B2.0_187,Patients who fail to mount an antibody response are more likely to die from COVID-22
Claims_Covid_B2.0_187,Patients who fail to mount an antibody response are more likely to die from COVID-23
Claims_Covid_B2.0_187,Patients who fail to mount an antibody response are more likely to die from COVID-24
Claims_Covid_B2.0_188,Covid-19 vaccines alter DNA
Claims_Covid_B2.0_189,Novavax made a Covid-19 vaccine
Claims_Covid_B2.0_190,EKI Energy Services Ltd has a 100MW capacity
Claims_Covid_B2.0_191,ICE mortgage is transforming the residential mortgage market in the U.S.
Claims_Covid_B2.0_192,The WCI was established in 2011
Claims_Covid_B2.0_192,The WCI was established in 2012
Claims_Covid_B2.0_192,The WCI was established in 2013
Claims_Covid_B2.0_192,The WCI was established in 2014
Claims_Covid_B2.0_192,The WCI was established in 2015
Claims_Covid_B2.0_192,The WCI was established in 2016
Claims_Covid_B2.0_193,Religon forum 20 was hosted by Nahdlatul Ulama's Jakarta
Claims_Covid_B2.0_194,Jakarta is setting up a new carbon tradding mechanisim
Claims_Covid_B2.0_195,"Indonesia has raised its targeted greenhouse gas emission reduction targets, from 29 percent to 31.89 percent"
Claims_Covid_B2.0_196,The WCI manages a number of Emissions Reductions Schemes
Claims_Covid_B2.0_197,Qatar has been using greenwashing to appear more enviromentally friendly
Claims_Covid_B2.0_198,China has an LNG export deal with Qatar
Claims_Covid_B2.0_199,Croatia is a member of the EU-27
Claims_Covid_B2.0_199,Croatia is a member of the EU-28
Claims_Covid_B2.0_199,Croatia is a member of the EU-29
Claims_Covid_B2.0_199,Croatia is a member of the EU-30
Claims_Covid_B2.0_199,Croatia is a member of the EU-31
Claims_Covid_B2.0_199,Croatia is a member of the EU-32
Claims_Covid_B2.0_200,Croatia joined the EU ets in 2013
Claims_Covid_B2.0_200,Croatia joined the EU ets in 2014
Claims_Covid_B2.0_200,Croatia joined the EU ets in 2015
Claims_Covid_B2.0_200,Croatia is a member of the EU-28
Claims_Covid_B2.0_200,Croatia is a member of the EU-29
Claims_Covid_B2.0_200,Croatia is a member of the EU-30
Claims_Covid_B2.0_201,Tianjin was not part of China's pilot emission tradding scheme
Claims_Covid_B2.0_202,Guangdong wasn't part of China's trial Emission Tradding Schemes
Claims_Covid_B2.0_203,The united nations climate summit COP27 will be held in Egypt
Claims_Covid_B2.0_204,COP 26 was held in Glasgow
Claims_Covid_B2.0_205,Denmark is being finacialy impacted by the war in Ukraine
Claims_Covid_B2.0_206,Bas Eickhout is a member of the Dutch green party
Claims_Covid_B2.0_207,Mariska Lammers is the Netherlands ambassador to Nigeria
Claims_Covid_B2.0_208,There is a conflict being fought in the Democratic Republic of Congo
Claims_Covid_B2.0_209,75% of the revenues generated from auctioning of maritime allowances will go to an Ocean Fund under the European Union ETS
Claims_Covid_B2.0_210,2078 compaines submit data to the CDP
Claims_Covid_B2.0_210,2079 compaines submit data to the CDP
Claims_Covid_B2.0_210,2080 compaines submit data to the CDP
Claims_Covid_B2.0_210,2081 compaines submit data to the CDP
Claims_Covid_B2.0_210,2082 compaines submit data to the CDP
Claims_Covid_B2.0_210,2083 compaines submit data to the CDP
Claims_Covid_B2.0_211,Kenya is in the midst of a drought
Claims_Covid_B2.0_212,Indigenous and pastoral communities live sustainably in Kenya
Claims_Covid_B2.0_213,Welsh emissions raise millions of pounds worth of money for the UK treasury
Claims_Covid_B2.0_214,Greece is a member of the EU27
Claims_Covid_B2.0_214,Greece is a member of the EU28
Claims_Covid_B2.0_214,Greece is a member of the EU29
Claims_Covid_B2.0_214,Greece is a member of the EU30
Claims_Covid_B2.0_214,Greece is a member of the EU31
Claims_Covid_B2.0_214,Greece is a member of the EU32
Claims_Covid_B2.0_215,India aims to reduce its emissions through forestry
Claims_Covid_B2.0_216,Canada is a member of the EU22
Claims_Covid_B2.0_216,Canada is a member of the EU23
Claims_Covid_B2.0_216,Canada is a member of the EU24
Claims_Covid_B2.0_216,Canada is a member of the EU25
Claims_Covid_B2.0_216,Canada is a member of the EU26
Claims_Covid_B2.0_216,Canada is a member of the EU27
Claims_Electric_Vehicles_C2.1_1,"The sale of Plug-in Hybrid Electric Vehicles (PHEV) is on a rise globally, with different powertrain options like Series Hybrid, Parallel Hybrid and Combined Hybrid being analyzed for annual sales in various countries including the USA, Canada, France, Germany, Italy, UK, Japan, and others, as covered from 2012 through projected sales up to 2027."
Claims_Electric_Vehicles_C2.1_2,Renault has been in discussions with Geely Automobile Holdings about the possibility of the Chinese automaker taking a stake in Renault's internal combustion-engine unit.
Claims_Electric_Vehicles_C2.1_3,"The global microchip shortage has impacted production at the Windsor and Brampton assembly plants for the past two years, resulting in longer wait times for the delivery of some Stellantis Canada vehicle models."
Claims_Electric_Vehicles_C2.1_4,"According to Arno Sillat, AMTEL executive manager, the environmental footprint of an electric vehicle is considerably larger than that of an Internal Combustion Engine (ICE) vehicle."
Claims_Electric_Vehicles_C2.1_5,"The experience of the Fergusons in Florida during Hurricane Ian's power outage demonstrates the potential advantages of having an electrified vehicle fleet, despite the need for more infrastructure and planning to meet power demands during grid disruptions."
Claims_Electric_Vehicles_C2.1_6,"While electric cars offer fuel savings and potentially significant tax breaks, it's important to consider factors such as the source of your electricity and the environmental impact of batteries and non-local emissions before deciding if they are the right choice for you."
Claims_Electric_Vehicles_C2.1_7,"Despite the fact that electric vehicles produce fewer emissions than traditional internal-combustion vehicles, the ongoing trend towards larger vehicles, such as SUVs and pickup trucks, is negatively impacting both road safety and the environment."
Claims_Electric_Vehicles_C2.1_8,"Foxconn, a Taiwanese company known for building Apple's iPhones, recently unveiled two new electric vehicles, including the Model B city car, a smaller version of Model C, which was designed by Italian firm Pininfarina, at an event in Taipei."
Claims_Electric_Vehicles_C2.1_9,"The Swedish government has announced that the cost of owning and driving a climate bonus car is now similar to that of petrol or diesel cars, contributing to its high sales numbers, which account for approximately half of new passenger car sales in the country."
Claims_Electric_Vehicles_C2.1_10,"The World Economic Forum is taking steps to help scale vehicle electrification, though it's not specified how in the given context."
Claims_Electric_Vehicles_C2.1_11,"Morgan Stanley predicts a potential 81% increase in a Tesla-supplying global battery material stock, while a Chinese electric carmaker's stock could rise over 260% according to Citi, and Britishvolt continues to seek investment for a gigafactory in Northumberland, England despite economic challenges."
Claims_Electric_Vehicles_C2.1_12,"Amazon, as part of The Climate Pledge, has committed to buying over 100,000 electric delivery vans (EDVs) from Rivian to roll out between 2021 and 2024, with over 1,000 of these vans already operating in more than 100 US cities, having successfully delivered over 5 million packages, and earning positive feedback from drivers."
Claims_Electric_Vehicles_C2.1_13,"The installed solar panel system, costing $8,000, is expected to break even in less than 4 years due to annual electricity savings of over $2,000, and it has a lifespan of over 20 years, although the inverter may need replacement after 10 to 15 years."
Claims_Electric_Vehicles_C2.1_14,"Honda's self-driving electric vehicles, which are expected to be generally available by 2030, will feature innovative technologies such as map-less driving, humanlike understanding of words and gestures, and individual or multiple passenger carrying capabilities."
Claims_Electric_Vehicles_C2.1_15,"GM's Ultium battery technology plans to revolutionize energy management with solutions including bidirectional charging, vehicle-to-home and vehicle-to-grid systems, stationary storage, solar products, software applications, cloud management tools, microgrid solutions, and hydrogen fuel cells."
Claims_Electric_Vehicles_C2.1_16,"India's electric vehicle revolution in the last decade, particularly in Delhi and several northern states, is characterized by the rapid and largely unregulated growth of e-rickshaws, leading to increased competition, but also seen as a cost-effective, green mobility solution that helps reduce carbon emissions."
Claims_Electric_Vehicles_C2.1_17,"While Biden has pledged to increase U.S. production of lithium and other critical minerals and has passed laws to promote electric vehicles, including tax credits worth up to $7,500 for EV buyers, automakers warn that most EV purchases won't qualify for the full tax credit."
Claims_Electric_Vehicles_C2.1_18,"Australia, being the world's largest exporter of lithium and producer of key raw materials for EV batteries like nickel, cobalt, manganese, vanadium, zinc, and copper, is considered a potential battery superpower, with exports anticipated to rise by over 180% in fiscal 2023."
Claims_Electric_Vehicles_C2.1_19,"BMW plans to construct at least six fully electric models in the U.S. by 2030, yet has not specified a date to cease production of gas-powered vehicles, prompting concerns related to new U.S. EV tax credit rules aimed at avoiding the use of Chinese battery elements and minerals."
Claims_Electric_Vehicles_C2.1_20,"The General Services Administration (GSA) estimates that to facilitate the widespread use of electric vehicles, the federal government might require over 100,000 charging ports, with each port serving two vehicles, though the exact number would depend on vehicle usage and public charging infrastructure access."
Claims_Electric_Vehicles_C2.1_21,"The ongoing conflict between automakers and parts suppliers over the direction of the industry, with automakers requesting more flexibility and suppliers arguing against it, has led to market instability, as evidenced by the 97 percent decrease in share prices since August 2021."
Claims_Electric_Vehicles_C2.1_22,"The Sony-Honda joint venture, Sony Honda Mobility, is set to begin taking pre-orders for its electric vehicles in 2025 and aims to start deliveries to the United States and Japan in 2026, with the production taking place at a Honda factory in North America.
"
Claims_Electric_Vehicles_C2.1_23,"Efforts are underway in Michigan to expand access to electric vehicle charging infrastructure to underserved and low-income communities, with projects such as the installation of battery energy storage systems and DC Fast Chargers in remote rural areas, aiming to create a more inclusive mobility ecosystem and address energy grid demand concerns."
Claims_Electric_Vehicles_C2.1_24,"Amazon plans to double the number of its micro-mobility hubs by 2025 as part of its goal to achieve net-zero carbon emissions by 2040, and expects to deliver more packages via e-cargo bikes and on foot."
Claims_Electric_Vehicles_C2.1_25,"Earlier this year, Foxconn took over the operation of a plant in Youngstown, Ohio, from Lordstown Motors, and has plans to produce the Lordstown Endurance all-electric pickup as well as vehicles for Fisker, while also intending to source components from BMW, although specific components have not been mentioned."
Claims_Electric_Vehicles_C2.1_26,Can businesses receive a double tax break for purchasing electric vehicles for both personal and commercial use?
