Annotation_id,Claim_topic_id,Evidence_topic_id,Claim_text,Label,Evidence Label,Evidence_text,Article_topic_id,Reason
B_2.0,Claims_Climate_B2.0_5,Evidence_Climate_B2.0_25,The EU Emisson tradding schem (ETS) was launched in 2005,T,T,The EU Emissions Trading System (the EU ETS) is one of the key pillars of the EU's policy to combat climate change and to reduce greenhouse gas emissions from regulated sectors. It was launched in 2005,Emission trading scheme_9387,The EU emissions tradding scheme was lauched in 2005 as a key pillar or EU policy.
B_2.0,Claims_Climate_B2.0_5,Evidence_Climate_B2.0_26,The EU Emisson tradding schem (ETS) was launched in 2005,T,N,"The data set also includes information on auctions of allowances, compiled from auctioning platforms, as well as EEA estimates of ETS emissions for the period 2005 to 2012, to reflect the current scope of the ETS for the third trading period (20132020).",Emission trading scheme_9410,
B_2.0,Claims_Climate_B2.0_5,Evidence_Climate_B2.0_27,The EU Emisson tradding schem (ETS) was launched in 2005,T,N,The Emissions Trading Scheme is one of the most important drivers of the changes needed to have any hope of avoiding the catastrophic impacts of climate change. Photo: PHOTO NZSince it was launched nearly 15 years ago it has been under constant reform - and the government is working on yet more changes right now,Emission trading scheme_9417,
B_2.0,Claims_Climate_B2.0_5,Evidence_Climate_B2.0_28,The EU Emisson tradding schem (ETS) was launched in 2005,T,T,The EU's Emissions Trading System (ETS) was launched in 2005 as a major pillar of the EU's climate policy and is renowned as being the world's largest scheme for trading greenhouse gas emission allowances.,Emission trading scheme_9751,
B_2.0,Claims_Climate_B2.0_5,Evidence_Climate_B2.0_29,The EU Emisson tradding schem (ETS) was launched in 2005,T,T," In 2005, the world's first EU ETS was established, which adopted a decentralized governance model and greatly reduced global greenhouse gas emissions.",Emission trading scheme_9403,
B_2.0,Claims_Climate_B2.0_5,Evidence_Climate_B2.0_30,The EU Emisson tradding schem (ETS) was launched in 2005,T,T," ETS initiatives have been implemented around the world for a long time, with the EU-ETS scheme being the first international carbon market established in 2005.",Emission trading scheme_9430,
B_2.0,Claims_Climate_B2.0_6,Evidence_Climate_B2.0_31,The EU Emisson tradding schem (ETS) was launched in 2010,F,F,The EU Emissions Trading System (the EU ETS) is one of the key pillars of the EU's policy to combat climate change and to reduce greenhouse gas emissions from regulated sectors. It was launched in 2005,Emission trading scheme_9387,The EU emissions tradding scheme was lauched in 2005 as a key pillar or EU policy.
B_2.0,Claims_Climate_B2.0_6,Evidence_Climate_B2.0_32,The EU Emisson tradding schem (ETS) was launched in 2011,F,F,"Since its launch in 2005, the EU ETS has been subject to considerable changes and developments.",Emission trading scheme_9387,
B_2.0,Claims_Climate_B2.0_6,Evidence_Climate_B2.0_33,The EU Emisson tradding schem (ETS) was launched in 2012,F,N,"The data set also includes information on auctions of allowances, compiled from auctioning platforms, as well as EEA estimates of ETS emissions for the period 2005 to 2012, to reflect the current scope of the ETS for the third trading period (20132020).",Emission trading scheme_9410,
B_2.0,Claims_Climate_B2.0_6,Evidence_Climate_B2.0_34,The EU Emisson tradding schem (ETS) was launched in 2013,F,F,"ETS initiatives have been implemented around the world for a long time, with the EU-ETS scheme being the first international carbon market established in 2005.",Emission trading scheme_9430,
B_2.0,Claims_Climate_B2.0_6,Evidence_Climate_B2.0_35,The EU Emisson tradding schem (ETS) was launched in 2014,F,F,"The EU emissions trading scheme, in place since 2005, applies to industrial companies across the bloc, of which 1,000 are in France.",Emission trading scheme_9437,
B_2.0,Claims_Climate_B2.0_6,Evidence_Climate_B2.0_36,The EU Emisson tradding schem (ETS) was launched in 2015,F,F," Other ETS, including the world's second-largest in Europe, also took time to get established, but trading volumes have increased steadily since its launch in 2005.",Emission trading scheme_9438,
B_2.0,Claims_Climate_B2.0_7,Evidence_Climate_B2.0_37,India is looking to create it's own carbon market,T,T,The Indian government has green-lighted the creation of a national carbon market that will be key to decarbonising heavy industry and helping shape international carbon trading.,Emission trading scheme_9390,The Indian government is aiming to establish a carbon market.
B_2.0,Claims_Climate_B2.0_7,Evidence_Climate_B2.0_38,India is creating it's own carbon market,T,T," Among other things, the bill proposes a momentous carbon market framework in India to incentivize carbon emission reduction.",Emission trading scheme_9505,
B_2.0,Claims_Climate_B2.0_7,Evidence_Climate_B2.0_39,India is creating it's own carbon market,T,T,"The aim is to reduce emissions and to pursue a low carbon path more vigorously  providing an opportunity to re-imagine and refresh the development paradigm, the draft read",Emission trading scheme_9397,
B_2.0,Claims_Climate_B2.0_7,Evidence_Climate_B2.0_40,India is creating it's own carbon market,T,T,"The Wire Science spoke to Maria Chirayil and Ashok Sreenivas, co-authors of the Prayas report, to understand the manner in which emissions are currently regulated (or not) in India and the implications for the carbon market",Emission trading scheme_9397,
B_2.0,Claims_Climate_B2.0_7,Evidence_Climate_B2.0_41,India is creating it's own carbon market,T,T,"India is on track to establish a nationwide carbon market. In August, Lok Sabha passed a Bill to amend the Energy Conservation Act 2001 to provide a legal basis for the market. Essentially, the government will set quotas for allowable emissions and allow companies that successfully reduce their emissions to below the threshold to sell the balance as carbon credits' to others who haven't done so.",Emission trading scheme_9397,
B_2.0,Claims_Climate_B2.0_7,Evidence_Climate_B2.0_42,India is creating it's own carbon market,T,N,India needs to develop Carbon Pricing Instruments.,Emission trading scheme_9415,
B_2.0,Claims_Climate_B2.0_8,Evidence_Climate_B2.0_43,India has an ETS,F,F,"The creation of a national carbon market in India, depending on its institutional setup, policy integration, and design could offer a mechanism for reducing emissions, or it could result in serious economic costs.",Emission trading scheme_9390,The Indian government is aiming to establish a carbon market but there is currently only piolt programs
B_2.0,Claims_Climate_B2.0_8,Evidence_Climate_B2.0_44,India has an ETS,F,F,"A planned national carbon market for India, the world's third-largest emitter, could become one of the biggest mitigation experiments ever attempted, getting the country on track to meet its net-zero greenhouse gas emissions goal by the promised date of 2070.",Emission trading scheme_9390,
B_2.0,Claims_Climate_B2.0_8,Evidence_Climate_B2.0_45,India has an ETS,F,F,India is on track to establish a nationwide carbon market,Emission trading scheme_9397,
B_2.0,Claims_Climate_B2.0_8,Evidence_Climate_B2.0_46,India has an ETS,F,F," India needs to develop Carbon Pricing Instruments. Carbon pricing can take the form of Carbon Tax or Crediting, or a Carbon Emission Trading scheme ~ a cap-and-trade system that depends on government allotments or permits.",Emission trading scheme_9415,
B_2.0,Claims_Climate_B2.0_8,Evidence_Climate_B2.0_47,India has an ETS,F,N,"India's first experience with ETS was a pilot scheme for particulate matter (PM), introduced in 2019 in Surat, Gujarat.",Emission trading scheme_9422,
B_2.0,Claims_Climate_B2.0_8,Evidence_Climate_B2.0_48,India has an ETS,F,N,"The Wire Science spoke to Maria Chirayil and Ashok Sreenivas, co-authors of the Prayas report, to understand the manner in which emissions are currently regulated (or not) in India and the implications for the carbon market",Emission trading scheme_9397,
B_2.0,Claims_Climate_B2.0_9,Evidence_Climate_B2.0_49,The EU Emission trading schemes aim to increase the amount of co2 being produced by participating countries.,F,F,Proponents of cap and trade argue that it is a palatable alternative to acarbon tax. Both measures are attempts to reduce environmental damage without causing undue economic hardship to the industry.,Emission trading scheme_9561,The EU emissions tradding scheme aims to reduce emssions including co2
B_2.0,Claims_Climate_B2.0_9,Evidence_Climate_B2.0_50,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,F,"There are a number of industrial decarbonisation schemes, including energy efficiency and emissions trading schemes, that we administer for the UK and regulate in England. At the heart of all these schemes is the goal of reducing greenhouse gas emissions with a particular focus on carbon emissions.",Emission trading scheme_9392,
B_2.0,Claims_Climate_B2.0_9,Evidence_Climate_B2.0_51,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,F,"We regulate more than 10,000 organisations in the UK and in 2021, we successfully delivered compliance rates of over 95% for the:The UK Emissions Trading Scheme (UK ETS) and Ozone-Depleting Substances and Fluorinated Greenhouse Gases Regulations replaced UK participation in the European regulations and systems from January 2021.In 2021, we continued to support the government's EU Exit strategy and the transition of these schemes to the UK.",Emission trading scheme_9392,
B_2.0,Claims_Climate_B2.0_9,Evidence_Climate_B2.0_52,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,N,Brexit is a considerable opportunity to simplify and reform EU legacy legislation for the better.,Emission trading scheme_9392,
B_2.0,Claims_Climate_B2.0_9,Evidence_Climate_B2.0_53,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,N,The European Parliament has adopted a common position on the European Emissions Trading Scheme (EU-ETS) reform and the bloc's forthcoming carbon border tax (CBAM) following a compromise between the biggest parties.,Emission trading scheme_9386,
B_2.0,Claims_Climate_B2.0_9,Evidence_Climate_B2.0_54,The EU Emission trading schemes aim to increase the amount of carbon being produced by participating countries.,F,N,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax.",Emission trading scheme_9399,
B_2.0,Claims_Climate_B2.0_10,Evidence_Climate_B2.0_55,The EU Emission trading scheme aims to reduce emissions,T,N,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax.",Emission trading scheme_9399,The EU emissions tradding scheme aims to reduce emssions 
B_2.0,Claims_Climate_B2.0_10,Evidence_Climate_B2.0_56,The EU Emission trading scheme aims to reduce emissions,T,N,European Union Commission President Ursula von der Leyen on Tuesday (30 August) rebuffed a call by Polish Prime Minister Mateusz Morawiecki to temporarily suspend the EU's Emission Trading System (ETS) in order to stabilise power prices.,Emission trading scheme_9405,
B_2.0,Claims_Climate_B2.0_10,Evidence_Climate_B2.0_57,The EU Emission trading scheme aims to reduce emissions,T,N,"Although cap and trade systems reduce emissions and can lead to faster cuts in pollution, they also tend to increase the price of oil, coal, and natural gas in an effort to force companies to switch to alternative forms of energy.",Emission trading scheme_9561,
B_2.0,Claims_Climate_B2.0_10,Evidence_Climate_B2.0_58,The EU Emission trading scheme aims to reduce emissions,T,T,The EU ETS is a cornerstone of the EU's policy to combat climate change and a key tool for curbing greenhouse gas emissions cost-effectively.,Emission trading scheme_9743,
B_2.0,Claims_Climate_B2.0_10,Evidence_Climate_B2.0_59,The EU Emission trading scheme aims to reduce emissions,T,T,"To achieve the EU's overall greenhouse gas emissions reduction target for 2030, the sectors covered by the EU Emissions Trading System (EU ETS) must reduce their emissions by 43% compared to 2005 levels.",Emission trading scheme_9737,
B_2.0,Claims_Climate_B2.0_10,Evidence_Climate_B2.0_60,The EU Emission trading scheme aims to reduce emissions,T,T,"To increase the pace of emissions cuts, the overall number of emission allowances will decline at an annual rate of 2.2% from 2021 onwards, compared to 1.74% currently.",Emission trading scheme_9737,
B_2.0,Claims_Climate_B2.0_11,Evidence_Climate_B2.0_61,Agriculture is a small emission sector,F,F,"Given that the agricultural sector accounts for 50% of NZ's gross emissions, approximately 94% of N20 emissions and 91% of biogenic methane emissions[4], it is critical that agriculture contributes to meeting NZ's climate goals",Emission trading scheme_9562,Agriculture is a major contributor to greenhouse gas emissions
B_2.0,Claims_Climate_B2.0_11,Evidence_Climate_B2.0_62,Agriculture is a small emission sector,F,N,"Sectors that must act to mitigate climate change include energy, transportation, waste management, manufacturing, agriculture and forestry, it said",Emission trading scheme_9495,
B_2.0,Claims_Climate_B2.0_11,Evidence_Climate_B2.0_63,Agriculture is a small emission sector,F,F,"The scheme is very effective because of that reach - although agriculture, which is a major emitter, is not covered and has been allowed instead to work with government officials to come up with a plan to price emissions by 2025 as an alternative to the ETS",Emission trading scheme_9417,
B_2.0,Claims_Climate_B2.0_11,Evidence_Climate_B2.0_64,Agriculture is a small emission sector,F,F,"But it will take time for the country to make the large cuts needed in transport and agriculture, and to electrify factory processes, and tree planting will always be part of the mix to offset unavoidable emissions",Emission trading scheme_9417,
B_2.0,Claims_Climate_B2.0_11,Evidence_Climate_B2.0_65,Agriculture is a small emission sector,F,F,"Meanwhile, there are fears that long-term overplanting exotics could also lead to lower ETS prices, disincentivising investment and innovation in low-carbon technology and suppressing moves to make actual reductions in emissions.",Emission trading scheme_9417,
B_2.0,Claims_Climate_B2.0_11,Evidence_Climate_B2.0_66,Agriculture is a small emission sector,F,N,".The UK, Scottish and Welsh Governments and Northern Ireland Department of Agriculture, Environment and Rural Affairs  collectively making up the UK ETS Authority  have established the scheme to increase the climate ambition of the UK's carbon pricing policy, while protecting the competitiveness of UK businesses.",Emission trading scheme_9477,
B_2.0,Claims_Climate_B2.0_12,Evidence_Climate_B2.0_67,Agriculture is a large emitter,T,T,But Robertson said the agricultural sector was too big an emitter - nearly 50 percent of the total - not to take action as quickly as possible.,Emission trading scheme_9543,Agriculture is a major contributor to greenhouse gas emissions
B_2.0,Claims_Climate_B2.0_12,Evidence_Climate_B2.0_68,Agriculture is a large emitter,T,N,"Agriculture is a major winner in the government's plan to cut emissions, despite farmers having yet to pay a cent into the pot of money set aside for climate spending.",Emission trading scheme_9543,
B_2.0,Claims_Climate_B2.0_12,Evidence_Climate_B2.0_69,Agriculture is a large emitter,T,N,The Climate Change Minister and Minister of Agriculture are required by the Climate Change Response Act 2002 (CCRA) to report on a pricing system by 31 December 2022.,Emission trading scheme_9562,
B_2.0,Claims_Climate_B2.0_12,Evidence_Climate_B2.0_70,Agriculture is a large emitter,T,T,"Likewise, agriculture is a significant source of environmental emissions and incidents.",Emission trading scheme_9392,
B_2.0,Claims_Climate_B2.0_12,Evidence_Climate_B2.0_71,Agriculture is a large emitter,T,T,"Recent years have seen SOx emissions from regulated facilities fall by 90%, while ammonia emissions, mainly from farms that are not regulated by the Environment Agency, have not fallen.",Emission trading scheme_9392,
B_2.0,Claims_Climate_B2.0_12,Evidence_Climate_B2.0_72,Agriculture is a large emitter,T,T, It calls for evidence on how we might improve the measuring of agricultural emissions to support future decarbonisation policy; whether this would be done though the UK ETS or by a different means. Other high emitting sectors will be considered at a later point.,Emission trading scheme_9412,
B_2.0,Claims_Climate_B2.0_13,Evidence_Climate_B2.0_73,The EU is aiming to half shipping emissions by 2050,N,T,"Looking ahead, shipping is set to be included in the EU's Emission Trading Scheme (meaning carbon permits will be required for voyages in EU waters), while the International Maritime Organisation  the UN body that regulates shipping  has pledged that by 2050 the industry's emissions will be half their 2008 levels.",Emission trading scheme_9393,There is limited evidence to suggest that the EU is planning to halve it's shipping emissions
B_2.0,Claims_Climate_B2.0_13,Evidence_Climate_B2.0_74,The EU is aiming to half shipping emissions by 2050,N,N,"The shipping industry's regulator,the International Maritime Organization (IMO),has set a rather underwhelming target of cutting greenhouse emissions in half by 2050",Emission trading scheme_9399,
B_2.0,Claims_Climate_B2.0_13,Evidence_Climate_B2.0_75,The EU is aiming to half shipping emissions by 2050,N,N,"The European Union has decided not to wait for the IMO to make a decision and has announced that starting next year,ships calling at European ports will have to begin paying into the bloc's emissions trading scheme, which serves the same function as a carbon tax.",Emission trading scheme_9399,
B_2.0,Claims_Climate_B2.0_13,Evidence_Climate_B2.0_76,The EU is aiming to half shipping emissions by 2050,N,T,"On 14 July 2021, the European Commission adopted a series of legislative proposals setting out how it intends to achieve climate neutrality in the EU by 2050, including the intermediate target of an at least 55% net reduction in greenhouse gas emissions by 2030.",Emission trading scheme_9737,
B_2.0,Claims_Climate_B2.0_13,Evidence_Climate_B2.0_77,The EU is aiming to half shipping emissions by 2050,N,N,"The committee also agreed to expand the ETS scheme to cover shipping emissions from 2024 and to accelerate the phase-out of free allowances in a bid to speed up the decarbonisation of industries like cement, steel and chemicals.",Emission trading scheme_9483,
B_2.0,Claims_Climate_B2.0_13,Evidence_Climate_B2.0_78,The EU is aiming to half shipping emissions by 2050,N,N,Last July the European Commission proposed adding shipping to the ETS gradually from 2023 until 2026 when shipowners would need to buy permits covering all their emissions inside the EU and 50% of their emissions from international voyages starting and ending in the EU.,Emission trading scheme_9442,
B_2.0,Claims_Climate_B2.0_14,Evidence_Climate_B2.0_79,James Shaw is New Zealands climate change minister,T,T,"It has been a very long journey and it is well past time we got going, said James Shaw, the climate change minister and Green party co-leader, adding that working with farmers to reduce emissions was a priority, rather than relying on offsetting emissions through forestry",Emission trading scheme_9394,James Shaw is New Zealands climate change minister 
B_2.0,Claims_Climate_B2.0_14,Evidence_Climate_B2.0_80,James Shaw is New Zealands climate change minister,T,N,Climate change: James Shaw distances himself from agricultural emissions group proposals,Emission trading scheme_9575,
B_2.0,Claims_Climate_B2.0_14,Evidence_Climate_B2.0_81,James Shaw is New Zealands climate change minister,T,T," New Zealand has a ""Herculean task to do in a nine-year period because we\'ve been a bit late getting started on reducing emissions, like many other countries"", climate change minister James Shaw said at the signing ceremony at the UN Cop 26 climate summit in Glasgow.",Emission trading scheme_9600,
B_2.0,Claims_Climate_B2.0_14,Evidence_Climate_B2.0_82,James Shaw is New Zealands climate change minister,T,T,Marc Daalder explains Climate Change Minister James Shaw rang the NZX bell in Wellington to mark the start of the first ever auction of carbon credits under the Emissions Trading Scheme.,Emission trading scheme_9610,
B_2.0,Claims_Climate_B2.0_14,Evidence_Climate_B2.0_83,James Shaw is New Zealands climate change minister,T,N,Climate change: James Shaw distances himself from agricultural emissions group proposals,Emission trading scheme_9575,
B_2.0,Claims_Climate_B2.0_14,Evidence_Climate_B2.0_84,James Shaw is New Zealands climate change minister,T,T,"New Zealand has a ""Herculean task to do in a nine-year period because we\'ve been a bit late getting started on reducing emissions, like many other countries"", climate change minister James Shaw said at the signing ceremony at the UN Cop 26 climate summit in Glasgow.",Emission trading scheme_9600,
B_2.0,Claims_Climate_B2.0_15,Evidence_Climate_B2.0_85,Jacinda Ardern is New Zealands Climate Change Minister,F,N,"Given the failure that is vocational education provider Te Pukenga, its lack of accountability with Te Whatu Ora and the reaction to its Three Waters programme, Jacinda Ardern is now under increasing pressure to show voters that the agriculture emissions scheme must be more than a proposal and become reality.",Emission trading scheme_9679,James Shaw is New Zealands climate change minister 
B_2.0,Claims_Climate_B2.0_15,Evidence_Climate_B2.0_86,Jacinda Ardern is New Zealands Climate Change Minister,F,F,New Zealand Prime Minister Jacinda Ardern has sparked controversy over a proposed farmers tax on cow and sheep gases to reduce greenhouse emissions.,Emission trading scheme_9763,
B_2.0,Claims_Climate_B2.0_15,Evidence_Climate_B2.0_87,Jacinda Ardern is New Zealands Climate Change Minister,F,F,"It has been a very long journey and it is well past time we got going, said James Shaw, the climate change minister and Green party co-leader, adding that working with farmers to reduce emissions was a priority, rather than relying on offsetting emissions through forestry",Emission trading scheme_9394,
B_2.0,Claims_Climate_B2.0_15,Evidence_Climate_B2.0_88,Jacinda Ardern is New Zealands Climate Change Minister,F,F,"There is no question that we need to cut the amount of methane we are putting into the atmosphere, and an effective emissions pricing system for agriculture will play a key part in how we achieve that,"" New Zealand\'s climate change minister James Shaw said.",Emission trading scheme_9753,
B_2.0,Claims_Climate_B2.0_15,Evidence_Climate_B2.0_89,Jacinda Ardern is New Zealands Climate Change Minister,F,N,New Zealand has unveiled a plan to tax sheep and cattle burps in a bid to tackle one of the country's biggest sources of greenhouse gases.,Emission trading scheme_9753,
B_2.0,Claims_Climate_B2.0_15,Evidence_Climate_B2.0_90,Jacinda Ardern is New Zealands Climate Change Minister,F,N,Press Release  ACT New ZealandThe targets set by James Shaw under the Zero Carbon Act were never achievable and the High Courts recent ruling proves it.,Emission trading scheme_9871,
B_2.0,Claims_Climate_B2.0_16,Evidence_Climate_B2.0_91,Indoniessia has an ETS,F,F,"The intended collaboration centers around IDX's emission trading scheme that is slated to launch in 2025, and MVGX's job is to help IDX build a carbon registry and exchange with blockchain as the infrastructure layer, TechCrunch's Rita Liao reports.",Emission trading scheme_9395,"Indonisea does not currently have an establsihed ETS, instead it is investigating the best way to implement one."
B_2.0,Claims_Climate_B2.0_16,Evidence_Climate_B2.0_92,Indoniessia has an ETS,F,F,Indonesia's scheme will not be a classic cap-and-trade system as it will not limit the total emissions of coal-fired power plants. In some ways it will operate more like a baseline-and-credit system that sets different benchmarks for different categories of coal-fired power plants.,Emission trading scheme_9408,
B_2.0,Claims_Climate_B2.0_16,Evidence_Climate_B2.0_93,Indoniessia has an ETS,F,F,"View all partnersSenior Analyst, Climateworks CentreSenior Analyst (Economics and Governance), Climateworks CentreIndonesia, one of the biggest emitters  in the world, is planning to launch its pilot emissions trading scheme in July, which can possibly become the first national carbon market in Southeast Asia.",Emission trading scheme_9408,
B_2.0,Claims_Climate_B2.0_16,Evidence_Climate_B2.0_94,Indoniessia has an ETS,F,F,"View all partnersSenior Analyst (Economics and Governance), Climateworks CentreSenior Analyst, Climateworks CentreIndonesia, one of the world's biggest coal producers and greenhouse emitters, plans to launch its pilot emissions trading scheme in July, which can possibly lead to the implementation of the first national carbon market in Southeast Asia.",Emission trading scheme_9414,
B_2.0,Claims_Climate_B2.0_16,Evidence_Climate_B2.0_95,Indoniessia has an ETS,F,N,"Indonesia plans to bring forward its peak in greenhouse gas (GHG) emissions from electricity generation, following Jarkata's agreement to a plan co-led by the US and Japan that will require $20bn in public and private financing over a 3-5 year period.",Emission trading scheme_9614,
